spot	(0) Capillary endothelium	(1) Ventricular cardiomyocytes	(10) Endothelium/ pericytes/ adventia	(12) Cardiomyocytes	(14) Cells related to cardiac neural crest	(2) Fribroblast-like (AV mesenchyme related)	(3) Subepicardial cells	(4) Fribroblast-like (coronary & mediastinal vasculature related)	(5) Smooth muscle cells/ fibroblast-like	(7) Artrial cardiomyocytes	(8) Fibroblast-like (outflow tract & valve related)	(9) Epicardial cells
7491_10388	0	2	2	8	0	3	0	1	0	2	6	0
7491_10812	0	2	1	8	0	0	0	4	0	0	2	0
7491_11236	0	2	1	8	0	1	0	0	0	1	2	0
7491_11660	0	2	1	10	0	0	0	1	0	0	5	0
7491_12084	1	4	3	12	0	0	0	0	0	1	2	0
7491_12508	1	1	1	17	0	0	0	0	0	2	0	1
7491_12932	0	6	0	13	0	1	0	0	0	2	0	0
7491_13356	1	1	0	8	0	0	0	0	0	6	2	0
7491_13780	1	3	1	17	0	1	0	0	0	2	3	0
7491_14204	0	1	1	11	0	0	0	2	0	1	5	0
7491_14628	0	7	4	7	0	1	0	1	0	1	1	0
7491_15052	0	5	3	9	0	0	0	0	0	3	3	0
7491_15476	0	1	0	11	0	0	0	0	0	1	2	1
7491_15900	1	0	1	4	0	2	2	1	1	0	7	2
7945_1060	0	0	0	0	0	5	1	2	1	0	4	4
7945_1484	0	0	1	0	1	2	0	1	2	18	3	0
7945_1908	0	0	0	0	2	2	0	0	0	12	0	0
7945_2332	3	0	3	0	0	2	0	0	1	16	6	1
7945_2756	0	0	0	0	1	0	0	0	0	26	0	0
7945_3180	0	0	0	2	0	0	0	0	0	5	0	0
7945_4452	0	0	0	0	0	0	1	0	0	1	2	0
7945_4876	0	0	0	0	0	0	0	0	0	15	0	0
7945_5300	0	0	2	0	0	0	0	0	0	18	0	0
7945_5724	0	0	2	0	1	1	2	0	0	14	0	0
7945_6148	2	0	0	1	0	2	1	0	1	5	3	3
7945_6572	0	0	0	0	0	0	0	0	0	2	0	5
7945_6996	0	0	1	0	0	1	0	0	0	4	1	2
7945_7420	0	0	0	0	0	5	7	0	3	3	2	1
7945_7844	0	0	0	1	0	5	0	2	1	13	0	0
7945_8268	0	0	1	0	0	0	0	0	0	11	0	0
7945_8692	0	0	0	1	0	0	0	0	0	4	2	0
7945_9116	1	0	1	4	0	1	0	0	0	0	4	0
7945_9540	2	0	2	9	0	1	0	0	0	3	2	0
7945_9964	0	1	0	14	0	1	0	2	0	3	2	0
7945_10388	0	3	3	11	0	1	0	0	0	2	0	1
7945_10812	1	2	0	8	0	0	0	1	0	2	3	0
7945_11236	0	1	2	4	0	0	0	1	0	2	3	2
7945_11660	0	1	2	12	0	0	0	0	0	2	2	0
7945_12084	1	0	3	21	0	0	0	0	0	1	0	0
7945_12508	0	1	1	16	0	0	0	0	0	3	0	0
7945_12932	0	1	1	8	0	0	0	0	0	1	0	0
7945_13356	0	0	2	9	0	0	0	0	0	3	0	0
7945_13780	2	2	3	15	0	0	0	0	0	2	1	0
7945_14204	0	2	3	8	0	0	0	0	0	1	2	0
7945_14628	0	4	1	5	0	0	0	2	0	4	5	0
7945_15052	0	4	1	7	0	0	0	2	0	3	1	0
7945_15476	0	3	1	10	0	0	0	0	0	1	3	0
7945_15900	0	5	2	8	1	0	0	1	0	1	2	0
7945_16324	1	1	2	2	0	1	2	2	0	0	3	1
8399_1060	0	0	0	0	0	0	0	0	0	0	0	2
8399_1484	0	0	0	0	0	2	1	0	1	3	0	0
8399_1908	2	0	0	0	0	1	0	0	0	0	2	0
8399_2332	0	0	0	0	0	2	0	0	0	23	3	0
8399_2756	0	0	1	0	0	0	0	0	0	19	2	1
8399_4452	0	0	0	0	0	1	0	0	0	5	2	0
8399_4876	0	0	3	0	0	4	2	1	1	6	1	0
8399_5300	1	0	0	1	2	4	2	1	2	10	4	0
8399_5724	0	0	0	0	1	2	3	3	5	4	2	0
8399_6148	0	0	0	0	3	0	1	3	1	0	3	4
8399_7420	0	0	0	0	0	4	2	0	2	0	1	2
8399_7844	0	0	0	0	0	8	1	3	1	9	3	0
8399_8268	0	0	1	1	0	0	0	0	0	19	0	0
8399_8692	0	0	0	0	0	7	0	0	0	4	1	0
8399_9116	1	0	0	4	0	2	0	0	0	0	3	0
8399_9540	2	0	0	6	0	3	0	1	0	2	3	0
8399_9964	0	1	2	17	0	0	0	0	0	2	1	0
8399_10388	0	4	4	10	0	0	0	1	0	0	1	0
8399_10812	1	2	0	9	0	0	0	0	0	3	0	0
8399_11236	0	5	2	10	0	0	0	0	0	2	0	0
8399_11660	1	5	1	12	0	0	0	0	0	3	4	0
8399_12084	0	1	0	13	0	1	0	0	0	3	3	0
8399_12508	1	1	0	7	0	0	0	0	0	3	0	0
8399_12932	1	0	3	3	0	0	0	0	0	1	0	0
8399_13356	0	0	3	5	0	0	0	0	0	3	0	0
8399_13780	1	6	1	10	0	0	0	0	0	2	0	0
8399_14204	1	3	2	5	0	0	0	1	0	3	2	0
8399_14628	2	3	2	7	0	0	0	0	0	2	0	0
8399_15052	1	1	1	10	0	0	0	2	0	1	2	0
8399_15476	0	3	0	7	0	0	0	3	0	2	1	0
8399_15900	0	10	3	8	0	0	0	0	0	1	2	0
8399_16324	1	11	0	4	0	0	0	1	0	0	0	1
8399_16748	0	0	0	1	0	0	0	0	0	0	1	2
8853_636	0	0	0	0	0	1	0	0	0	0	0	0
8853_1060	0	0	0	0	0	0	0	0	0	0	0	2
8853_1484	0	0	0	0	0	0	0	0	0	0	1	0
8853_1908	5	0	0	0	0	0	0	0	3	4	1	0
8853_2332	0	0	0	0	2	1	0	0	0	24	0	0
8853_2756	2	0	3	1	1	1	0	0	1	16	1	0
8853_4452	0	0	2	0	1	3	2	2	4	6	4	2
8853_4876	2	0	0	1	0	5	6	0	4	4	0	5
8853_5300	0	0	0	0	0	1	4	1	0	15	2	0
8853_5724	0	0	3	0	0	0	0	0	0	18	2	0
8853_6148	0	0	0	0	0	1	0	1	0	11	0	3
8853_7420	0	0	0	0	0	2	2	0	0	0	1	0
8853_7844	0	0	0	0	0	15	7	1	1	0	4	1
8853_8268	1	0	0	0	0	10	0	4	1	3	2	0
8853_8692	1	0	0	3	0	19	0	1	0	2	2	0
8853_9116	3	0	0	6	0	10	0	0	0	4	2	0
8853_9540	1	1	2	7	0	4	0	0	0	2	3	0
8853_9964	0	0	0	11	0	1	0	1	0	2	2	0
8853_10388	0	2	1	9	0	2	0	0	0	3	3	0
8853_10812	1	2	0	10	0	0	0	2	0	2	0	0
8853_11236	0	5	1	12	0	0	0	1	0	2	2	0
8853_11660	1	3	1	8	0	0	0	0	0	10	0	0
8853_12084	0	1	0	11	0	0	0	1	0	6	3	0
8853_12508	0	4	1	3	0	0	0	0	0	4	0	0
8853_12932	0	1	0	8	0	0	0	0	0	3	0	0
8853_13356	0	0	2	7	0	0	0	0	0	2	0	0
8853_13780	1	0	0	8	0	0	0	0	0	0	0	0
8853_14204	3	2	2	6	0	0	0	0	0	4	1	0
8853_14628	2	2	3	10	0	0	0	0	0	5	0	0
8853_15052	1	1	2	7	0	0	0	0	0	2	0	0
8853_15476	0	5	0	6	0	0	0	0	0	4	3	0
8853_15900	1	7	1	7	0	1	0	1	0	2	2	0
8853_16324	1	5	1	7	0	0	0	0	0	4	1	0
8853_16748	0	3	0	1	0	2	2	0	0	1	2	0
9307_1908	3	0	0	0	0	3	1	1	2	6	1	0
9307_2332	1	0	1	0	4	3	2	2	4	7	5	3
9307_2756	2	0	1	0	1	3	1	2	6	3	2	7
9307_4452	0	0	0	0	0	2	4	2	2	10	1	3
9307_4876	0	0	0	0	0	0	0	0	0	16	0	0
9307_5300	1	0	2	0	0	0	0	0	0	20	0	0
9307_5724	1	0	2	1	0	0	0	0	0	23	0	0
9307_6148	0	0	0	4	0	0	0	0	0	16	1	2
9307_6572	0	0	2	0	0	0	0	0	0	0	0	0
9307_6996	0	0	0	0	0	2	5	0	0	0	0	8
9307_7420	0	0	0	1	0	5	16	2	1	0	1	2
9307_7844	1	0	0	0	0	8	4	9	2	0	5	0
9307_8268	1	0	0	0	0	19	3	4	0	0	5	1
9307_8692	3	1	1	2	0	13	0	0	0	2	7	0
9307_9116	2	0	4	2	0	7	0	1	0	3	7	0
9307_9540	1	0	2	3	0	3	0	0	0	0	0	0
9307_9964	1	0	3	1	0	0	0	0	0	0	2	0
9307_10388	0	0	1	8	0	1	0	0	0	0	1	1
9307_10812	0	0	0	6	0	0	0	0	0	2	0	0
9307_11236	0	0	1	2	0	0	0	0	0	4	0	0
9307_11660	0	0	1	1	0	0	0	0	0	2	0	0
9307_12084	0	0	2	4	0	0	0	0	0	0	0	0
9307_12508	0	0	0	0	0	0	0	0	0	0	1	0
9307_12932	0	0	0	1	0	0	0	0	0	0	0	0
9307_13356	2	0	1	1	0	0	0	0	0	1	0	0
9307_13780	1	0	5	5	0	0	0	0	0	2	0	0
9307_14204	4	1	2	8	0	0	0	0	0	3	0	0
9307_14628	5	2	1	5	0	0	0	0	0	2	3	0
9307_15052	2	0	1	6	0	0	0	0	0	2	0	0
9307_15476	0	2	1	14	0	1	0	0	0	1	1	0
9307_15900	0	3	2	9	0	0	0	1	0	3	0	0
9307_16324	1	5	2	4	0	0	0	0	0	3	3	0
9307_16748	0	4	0	2	0	1	0	2	1	2	1	1
9761_1484	0	0	0	0	0	0	0	0	4	0	0	0
9761_1908	2	0	0	0	2	3	2	3	5	3	5	0
9761_2332	0	0	0	0	1	9	2	0	19	0	0	5
9761_2756	0	0	0	0	0	0	0	0	0	0	1	4
9761_4452	0	0	0	0	0	0	2	0	2	11	1	3
9761_4876	2	0	3	0	0	0	0	0	0	11	0	0
9761_5300	0	0	1	0	0	0	0	0	0	17	0	0
9761_5724	0	0	1	1	0	0	0	0	0	16	0	0
9761_6148	0	0	2	1	0	0	0	0	0	11	0	0
9761_6572	0	0	0	0	0	0	0	1	0	6	0	2
9761_6996	0	0	0	0	0	1	3	0	2	0	0	1
9761_7420	0	0	2	1	0	5	4	3	2	2	1	0
9761_7844	2	0	0	0	0	10	2	4	3	0	3	0
9761_8268	2	0	0	0	0	15	0	2	1	0	7	0
9761_8692	1	0	2	4	0	9	0	0	0	0	4	0
9761_9116	0	0	0	3	0	7	0	0	1	0	6	0
9761_9540	0	0	0	0	0	3	0	0	0	0	3	0
9761_12932	0	2	0	5	0	0	0	0	0	2	0	0
9761_13356	1	1	1	14	0	0	0	0	0	3	0	0
9761_13780	3	1	3	6	0	0	0	0	0	5	0	0
9761_14204	0	1	0	5	0	0	0	0	0	2	1	0
9761_14628	6	1	0	8	0	0	0	0	0	3	1	0
9761_15052	1	1	2	7	0	0	0	0	0	3	0	0
9761_15476	2	5	0	14	0	0	0	0	0	3	0	0
9761_15900	0	5	1	6	0	1	0	4	0	1	0	0
9761_16324	0	9	1	9	0	0	0	0	0	2	2	0
9761_16748	0	3	1	5	0	1	0	1	0	2	0	0
10215_1484	2	0	0	0	0	1	0	0	11	0	1	0
10215_1908	1	0	0	0	2	2	2	0	19	0	0	0
10215_2332	0	0	0	0	7	7	0	1	26	0	0	0
10215_2756	0	0	0	0	0	6	2	1	11	0	1	4
10215_4028	0	0	0	0	0	0	0	0	0	0	1	0
10215_4452	0	0	0	1	0	0	1	0	2	11	1	0
10215_4876	1	0	1	0	0	0	0	0	0	2	0	0
10215_5300	0	0	1	0	0	0	0	0	0	10	0	0
10215_5724	5	0	0	0	0	0	0	0	0	8	0	0
10215_6148	0	0	0	0	0	0	0	0	0	15	0	0
10215_6572	0	0	1	1	0	0	0	0	0	18	0	1
10215_6996	0	0	0	0	0	1	0	0	1	14	0	4
10215_7420	0	0	0	1	0	3	2	2	1	9	0	4
10215_7844	2	0	0	0	0	11	2	2	3	1	5	1
10215_8268	0	0	0	6	0	15	1	2	0	1	4	0
10215_8692	2	5	0	5	0	5	0	0	0	1	1	0
10215_9116	2	0	0	6	0	4	0	0	1	1	2	0
10215_9540	1	0	0	0	0	3	0	0	0	0	0	0
10215_12932	0	0	0	2	0	0	0	0	0	0	0	0
10215_13356	1	0	1	11	0	0	0	0	0	3	0	0
10215_13780	4	0	0	17	0	0	0	0	0	7	0	0
10215_14204	1	5	0	7	0	0	0	0	0	1	0	0
10215_14628	1	1	0	9	0	0	0	0	0	3	0	0
10215_15052	1	2	0	11	0	0	0	0	0	4	0	0
10215_15476	3	6	2	12	0	1	0	0	0	2	3	0
10215_15900	0	4	0	4	0	1	1	1	0	2	2	0
10215_16324	0	6	1	6	0	1	0	3	0	2	1	0
10215_16748	0	3	1	6	0	0	0	0	0	1	1	0
10669_636	2	0	1	0	0	2	0	0	6	0	1	0
10669_1060	0	0	0	0	0	0	1	0	13	0	0	0
10669_1484	1	0	0	0	0	0	1	0	18	0	3	0
10669_1908	2	0	0	0	0	0	0	0	36	0	0	0
10669_2332	0	0	0	0	0	2	1	0	42	0	0	0
10669_2756	1	0	1	0	0	4	2	1	22	0	3	1
10669_3180	0	0	0	0	0	1	0	0	1	0	0	0
10669_4452	0	0	0	0	0	0	0	0	0	6	0	0
10669_4876	2	0	1	0	0	0	0	0	0	6	1	0
10669_5724	1	0	0	0	0	0	0	0	0	0	0	0
10669_6148	2	0	0	0	0	0	0	0	0	3	0	0
10669_6572	2	0	0	0	0	0	0	0	0	20	0	0
10669_6996	0	0	0	0	0	0	0	0	0	15	0	0
10669_7420	1	0	1	0	0	0	0	0	0	20	1	0
10669_7844	0	0	1	0	0	0	0	0	0	18	1	0
10669_8268	1	0	2	3	0	13	1	2	0	5	3	0
10669_8692	1	1	1	15	0	4	0	0	0	3	1	0
10669_9116	2	4	3	3	0	2	1	0	1	0	3	0
10669_9540	0	0	1	0	0	1	0	0	0	0	0	0
10669_11236	0	0	1	2	0	0	0	0	0	0	0	0
10669_11660	0	0	1	7	0	0	0	0	0	0	0	0
10669_12084	0	0	1	7	0	0	0	0	0	0	0	0
10669_12508	0	0	0	5	0	0	0	0	0	0	0	0
10669_12932	0	0	0	1	0	0	0	0	0	0	0	0
10669_13356	1	0	0	14	0	0	0	0	0	0	1	1
10669_13780	4	3	1	17	0	0	0	0	0	2	0	0
10669_14204	0	3	3	7	0	0	0	0	0	3	0	0
10669_14628	3	2	1	6	0	0	0	0	0	4	0	0
10669_15052	2	3	3	11	0	0	0	0	0	8	1	0
10669_15476	0	3	1	11	0	0	0	4	0	1	2	0
10669_15900	0	11	0	3	0	1	0	1	0	2	1	0
10669_16324	0	7	0	7	0	1	1	0	0	1	1	1
10669_16748	0	0	2	1	0	1	1	0	0	0	1	0
11123_636	0	0	1	0	0	2	1	5	8	0	4	0
11123_1060	0	0	0	0	0	0	0	0	4	0	0	0
11123_1484	0	0	0	0	1	0	2	0	20	0	1	0
11123_1908	2	0	1	0	0	0	0	0	36	0	0	0
11123_2332	0	0	0	0	0	3	0	1	33	0	0	0
11123_2756	0	0	0	0	0	3	0	1	12	0	2	1
11123_4452	0	0	0	0	0	0	2	0	0	14	0	4
11123_4876	0	0	0	1	0	2	0	0	0	16	0	0
11123_6148	3	0	0	0	0	0	0	0	0	0	1	0
11123_6572	13	0	0	0	0	0	0	0	0	1	0	0
11123_6996	12	0	0	0	0	0	0	0	0	1	0	0
11123_7420	5	0	1	0	0	1	0	0	0	8	0	0
11123_7844	0	0	1	0	0	0	0	0	0	20	2	0
11123_8268	1	0	0	0	0	3	0	0	0	16	0	1
11123_8692	0	2	2	7	0	2	0	0	0	6	1	0
11123_9116	1	4	0	11	0	1	0	0	0	5	1	0
11123_9540	0	4	1	6	0	0	0	0	0	0	1	0
11123_9964	1	0	0	1	0	0	0	0	0	0	0	0
11123_10812	0	0	1	2	0	0	0	0	0	0	1	0
11123_11236	0	1	1	15	0	0	0	0	0	2	0	0
11123_11660	0	2	2	15	0	1	0	0	0	0	0	0
11123_12084	0	0	4	12	1	0	0	0	0	0	0	0
11123_12508	0	0	2	12	0	0	0	0	0	0	1	0
11123_12932	0	0	0	12	0	0	0	0	0	3	0	0
11123_13356	0	1	2	21	0	0	0	0	0	3	0	0
11123_13780	2	0	1	14	0	0	0	0	0	5	1	0
11123_14204	1	2	1	6	0	0	0	0	0	3	0	0
11123_14628	3	3	1	8	0	0	0	0	0	2	0	0
11123_15052	0	6	4	11	0	0	0	3	0	3	2	0
11123_15476	0	4	3	9	0	1	0	0	1	4	1	1
11123_15900	0	4	0	13	0	0	1	1	0	1	1	0
11123_16324	0	3	4	3	0	0	0	0	0	0	1	0
11123_16748	0	0	0	1	0	0	2	1	0	0	0	2
11577_1484	0	0	0	0	0	0	0	0	5	0	0	0
11577_1908	0	0	0	0	1	1	1	1	15	0	1	0
11577_2332	0	0	0	0	0	0	0	0	4	0	0	0
11577_4028	0	0	0	0	0	0	0	0	0	0	0	1
11577_4452	0	0	0	0	0	0	0	0	0	2	1	6
11577_4876	0	0	0	0	0	1	0	0	0	18	0	0
11577_5300	0	0	0	0	0	0	0	0	0	2	1	0
11577_5724	0	0	1	0	0	0	0	0	0	0	0	0
11577_6572	1	0	0	0	0	0	0	0	0	3	0	0
11577_6996	1	0	1	0	0	0	0	0	0	8	0	0
11577_7420	9	0	1	0	0	0	0	0	0	5	0	0
11577_7844	1	0	0	1	0	0	0	0	0	16	0	0
11577_8268	0	0	1	2	0	0	0	0	0	18	0	0
11577_8692	0	0	1	5	0	2	0	0	0	10	1	0
11577_9116	0	5	0	16	0	2	0	0	0	7	1	0
11577_9540	4	1	3	19	0	2	0	1	0	1	3	0
11577_9964	4	0	2	9	0	1	0	0	0	1	0	0
11577_10388	3	2	1	10	0	0	0	0	0	0	1	0
11577_10812	1	2	3	17	0	0	0	0	0	0	0	0
11577_11236	2	2	1	12	0	2	0	0	0	1	0	0
11577_11660	0	3	0	19	0	0	0	0	0	1	0	0
11577_12084	4	4	3	21	0	0	0	0	0	2	0	0
11577_12508	1	1	4	18	0	1	0	0	0	3	0	0
11577_12932	3	1	3	9	0	0	0	0	0	1	1	0
11577_13356	3	6	1	18	0	0	0	0	0	2	1	0
11577_13780	3	0	1	10	0	0	0	0	0	1	0	0
11577_14204	2	1	1	6	0	0	0	0	0	3	1	0
11577_14628	2	2	2	7	0	0	0	0	0	5	2	0
11577_15052	0	8	1	7	0	1	1	4	0	2	3	0
11577_15476	2	2	2	6	0	1	1	2	0	4	1	0
11577_15900	0	7	0	6	0	0	0	0	1	7	1	0
11577_16324	1	3	3	2	0	0	1	2	0	0	1	3
12031_2756	0	0	0	0	1	1	0	0	0	0	0	0
12031_4028	0	0	1	0	0	0	0	1	2	0	2	3
12031_4452	0	0	0	0	0	0	0	0	0	0	0	2
12031_4876	0	0	2	0	0	1	3	0	0	17	0	0
12031_5300	2	0	1	0	0	0	0	0	0	5	0	0
12031_5724	2	0	0	1	0	0	0	0	0	9	0	0
12031_6148	0	0	1	3	0	2	0	0	0	9	1	2
12031_6572	0	0	1	2	1	0	1	0	0	12	0	1
12031_6996	0	0	1	0	0	0	0	0	0	0	0	0
12031_7844	1	0	2	1	0	0	0	0	0	8	0	0
12031_8268	0	0	2	0	0	0	0	0	0	21	0	0
12031_8692	1	0	1	1	0	1	0	0	0	19	0	0
12031_9116	0	1	2	5	0	6	0	0	0	12	4	0
12031_9540	2	6	2	15	0	6	0	0	0	2	3	0
12031_9964	3	3	1	15	0	0	0	0	0	0	0	0
12031_10388	1	1	2	16	0	0	0	0	0	1	0	0
12031_10812	2	5	5	15	0	0	0	0	0	4	0	0
12031_11236	1	4	2	11	0	0	0	0	0	2	2	0
12031_11660	2	2	0	6	0	0	0	0	0	1	1	0
12031_12084	4	3	3	16	0	0	0	0	0	1	1	0
12031_12508	7	2	5	13	0	0	0	0	0	3	0	0
12031_12932	1	2	3	9	0	0	0	0	0	3	0	0
12031_13356	0	4	0	14	0	0	0	0	0	1	0	0
12031_13780	2	0	2	10	0	0	0	1	0	3	2	0
12031_14204	5	4	2	8	0	0	0	0	0	3	1	0
12031_14628	0	5	0	11	0	0	0	2	0	5	2	0
12031_15052	0	5	4	6	0	0	0	4	0	3	1	0
12031_15476	1	4	4	6	0	1	1	0	0	4	0	0
12031_15900	0	3	1	4	0	1	0	0	0	1	1	1
12031_16324	0	0	0	0	0	0	0	0	0	0	1	0
12485_636	0	0	0	0	1	0	0	0	1	0	0	0
12485_1060	1	0	0	0	0	2	0	0	4	0	3	0
12485_1484	0	0	0	0	0	3	1	0	3	0	0	0
12485_2332	0	0	0	0	0	3	0	0	5	0	0	0
12485_2756	0	0	0	0	1	6	3	0	6	0	0	0
12485_3180	0	0	0	0	0	0	0	0	2	0	0	0
12485_4028	0	0	0	0	0	5	1	0	0	0	2	2
12485_4876	1	0	5	0	0	0	1	0	0	4	1	5
12485_5300	0	0	0	0	0	0	0	0	0	14	0	4
12485_5724	0	0	0	0	0	0	1	0	0	5	0	5
12485_6572	0	0	0	0	0	1	0	0	0	14	0	4
12485_6996	0	0	1	0	0	0	0	0	0	0	0	0
12485_7420	0	0	1	0	0	0	0	0	0	0	0	0
12485_7844	3	0	0	0	0	1	0	0	0	6	0	0
12485_8268	0	0	1	0	0	0	0	0	0	25	0	0
12485_8692	0	0	1	1	0	4	1	0	1	22	1	0
12485_9116	0	1	0	13	0	9	0	1	1	7	2	0
12485_9540	0	2	3	25	0	2	0	0	0	1	0	0
12485_9964	2	8	1	11	0	0	0	0	0	4	0	0
12485_10388	4	4	1	12	0	0	0	0	0	3	0	0
12485_10812	3	2	3	10	0	0	0	0	0	2	1	0
12485_11236	3	5	0	9	0	1	0	0	0	6	1	0
12485_11660	2	4	0	11	0	0	0	0	0	1	0	0
12485_12084	4	0	2	12	0	0	0	0	0	5	0	0
12485_12508	1	4	2	13	0	0	0	0	0	8	0	0
12485_12932	1	3	3	9	0	0	0	0	0	2	0	0
12485_13356	0	5	1	22	0	0	0	1	0	4	0	0
12485_13780	0	6	2	6	0	0	0	0	0	7	2	0
12485_14204	0	4	0	5	0	0	0	2	0	2	2	0
12485_14628	1	10	3	9	0	1	0	1	0	1	0	0
12485_15052	0	11	1	9	0	1	1	2	0	3	2	0
12485_15476	0	4	2	2	0	0	1	2	0	0	2	1
12485_15900	0	1	0	0	0	1	0	1	0	0	0	1
12939_212	0	0	0	0	0	1	0	0	5	0	0	0
12939_636	0	0	1	0	0	6	2	3	5	0	2	0
12939_1060	0	0	1	0	0	10	0	1	8	0	3	0
12939_1908	0	0	0	0	0	0	0	0	7	0	0	0
12939_2332	0	0	0	0	2	6	0	2	20	0	0	0
12939_2756	1	0	2	0	1	8	1	2	12	0	4	0
12939_3180	0	0	7	0	2	4	2	0	6	0	2	0
12939_3604	0	0	0	0	0	1	0	0	0	0	0	0
12939_4028	0	0	0	0	0	1	0	0	0	0	1	6
12939_4452	0	0	1	0	0	0	0	0	0	0	0	0
12939_5300	0	0	0	0	0	0	0	0	0	1	0	2
12939_5724	1	0	0	0	0	1	0	0	0	4	0	4
12939_6148	0	0	1	0	0	0	1	0	0	5	0	4
12939_6572	0	0	1	1	0	0	0	0	0	20	0	2
12939_7420	1	0	1	0	0	0	0	0	0	2	0	0
12939_7844	1	0	0	0	0	0	0	0	0	12	1	0
12939_8268	0	0	0	0	0	2	0	0	2	24	2	0
12939_8692	8	0	1	0	0	4	3	2	0	2	7	0
12939_9116	0	1	0	3	0	9	3	14	1	5	3	0
12939_9540	0	12	0	14	0	1	0	1	1	2	1	0
12939_9964	1	9	1	12	0	0	0	1	0	1	1	0
12939_10388	0	9	0	16	0	0	0	0	0	4	0	0
12939_10812	1	8	1	6	0	0	0	1	0	3	1	0
12939_11236	0	6	0	8	0	0	0	2	0	5	2	0
12939_11660	2	2	3	15	0	0	0	0	0	2	1	0
12939_12084	0	0	2	16	0	0	0	0	0	3	2	1
12939_12508	2	3	2	19	0	0	0	1	0	1	0	0
12939_12932	0	1	4	9	0	0	0	1	0	3	2	0
12939_13356	0	7	1	15	0	1	0	2	0	3	0	0
12939_13780	2	4	1	8	0	0	0	1	0	1	2	0
12939_14204	2	8	2	10	0	0	0	1	0	1	0	0
12939_14628	0	4	2	12	0	1	0	0	0	2	3	0
12939_15052	0	5	3	7	0	3	1	2	0	4	0	1
12939_15476	0	0	0	0	0	2	2	0	0	0	0	0
13393_212	0	0	0	0	0	3	0	0	6	0	0	0
13393_636	0	0	0	0	0	8	2	3	9	0	2	0
13393_1060	1	0	0	0	0	1	0	2	2	0	0	0
13393_1908	0	0	0	0	1	5	2	0	9	0	0	0
13393_2332	0	0	1	0	1	5	5	2	16	0	2	0
13393_2756	0	0	0	0	3	6	0	1	8	0	2	0
13393_3180	1	0	0	0	11	3	0	1	6	0	3	6
13393_3604	0	0	0	0	0	1	0	0	1	0	2	9
13393_4028	0	0	0	0	0	0	0	0	0	0	0	2
13393_4876	0	0	0	0	0	0	0	0	0	7	0	0
13393_5300	2	0	1	0	0	1	2	0	0	16	0	1
13393_5724	1	0	0	0	0	0	0	0	0	12	1	0
13393_6148	0	0	2	0	0	0	0	0	0	11	0	0
13393_6572	1	0	0	0	0	0	0	0	0	3	0	0
13393_7420	2	0	0	0	0	0	0	0	0	7	0	0
13393_7844	0	0	1	0	0	0	0	0	0	31	0	0
13393_8268	2	0	2	1	0	0	0	0	0	16	0	0
13393_8692	4	0	0	0	0	4	2	5	2	10	5	2
13393_9116	0	0	0	0	0	7	9	2	0	0	3	3
13393_9540	0	4	0	6	0	0	8	2	1	2	1	1
13393_9964	1	6	4	7	0	0	0	1	0	3	3	0
13393_10388	0	5	2	14	0	0	0	3	0	3	1	0
13393_10812	0	6	1	8	0	0	0	2	0	3	1	0
13393_11236	0	7	1	6	0	0	0	2	0	2	1	0
13393_11660	0	3	2	12	0	0	0	0	0	3	1	0
13393_12084	0	3	1	9	0	0	0	1	0	2	1	1
13393_12508	0	0	2	4	0	0	0	1	0	3	1	0
13393_12932	0	1	3	13	0	0	0	2	0	2	4	0
13393_13356	0	6	2	14	0	0	0	3	0	4	1	0
13393_13780	0	4	4	7	0	0	0	1	0	1	2	0
13393_14204	1	11	0	10	0	2	0	1	0	0	4	0
13393_14628	0	6	1	6	0	0	3	1	0	1	3	2
13393_15052	0	1	0	0	0	2	0	1	2	0	1	6
13847_212	0	0	0	0	0	2	1	0	3	0	1	0
13847_636	0	0	0	0	0	2	0	1	4	0	1	0
13847_1484	0	0	0	0	2	5	2	0	9	0	1	0
13847_1908	0	0	0	0	1	7	6	5	16	0	1	0
13847_2332	0	0	0	0	1	3	2	0	12	0	1	1
13847_2756	0	0	0	0	9	4	1	3	7	0	1	3
13847_3180	0	0	0	0	10	0	0	0	0	0	0	1
13847_3604	0	0	0	0	0	1	0	0	3	0	0	8
13847_4876	2	0	0	0	0	0	0	0	0	12	1	1
13847_6996	1	0	1	0	0	0	0	0	0	3	0	0
13847_7420	0	0	0	0	0	0	0	0	0	20	0	0
13847_7844	0	0	3	0	0	0	0	0	0	19	0	1
13847_8268	0	0	1	0	0	0	0	0	0	22	2	1
13847_8692	0	0	0	0	0	1	0	0	0	0	0	2
13847_9540	0	0	0	0	0	0	1	1	0	0	1	1
13847_9964	0	2	0	1	0	3	4	1	0	1	1	0
13847_10388	0	5	0	5	0	0	3	1	0	3	0	1
13847_10812	0	8	1	4	0	4	1	1	0	2	2	1
13847_11236	0	8	1	8	0	0	0	1	0	0	0	0
13847_11660	0	5	2	9	0	0	1	0	0	5	6	0
13847_12084	0	8	1	10	0	0	0	0	0	2	2	0
13847_12508	0	5	2	4	0	0	0	0	0	1	1	0
13847_12932	0	10	1	11	0	1	0	3	0	3	2	0
13847_13356	1	9	1	15	0	1	0	3	0	2	3	1
13847_13780	0	3	3	3	0	1	1	2	0	0	2	4
13847_14204	0	6	0	0	0	1	0	0	0	0	3	4
13847_14628	0	0	0	0	0	0	0	0	0	0	0	2
