spot	(0) Capillary endothelium	(1) Ventricular cardiomyocytes	(10) Endothelium/ pericytes/ adventia	(12) Cardiomyocytes	(14) Cells related to cardiac neural crest	(2) Fribroblast-like (AV mesenchyme related)	(3) Subepicardial cells	(4) Fribroblast-like (coronary & mediastinal vasculature related)	(5) Smooth muscle cells/ fibroblast-like	(7) Artrial cardiomyocytes	(8) Fibroblast-like (outflow tract & valve related)	(9) Epicardial cells
2497_12932	0	6	2	6	0	1	0	0	0	1	2	0
2497_13356	1	3	7	4	0	0	0	0	0	1	5	0
2497_13780	0	1	2	4	0	1	0	3	0	2	2	0
2497_14204	0	2	1	2	0	0	1	0	0	2	0	0
2951_1060	0	0	0	0	0	0	0	0	0	13	3	0
2951_1484	0	0	0	0	0	2	1	2	2	19	2	4
2951_1908	4	0	2	0	0	0	0	0	0	17	1	2
2951_2332	0	0	0	3	0	0	0	0	0	9	0	0
2951_2756	1	0	1	0	0	0	0	0	0	14	0	0
2951_4876	0	0	0	0	0	0	0	0	0	8	0	0
2951_5300	0	0	1	1	0	0	2	0	0	23	2	3
2951_5724	0	0	0	0	0	0	0	0	0	0	0	3
2951_6996	0	0	0	0	0	1	0	0	0	0	0	1
2951_8692	0	7	0	10	0	0	0	1	0	0	0	0
2951_9116	3	0	2	6	0	0	0	1	0	1	3	0
2951_9540	1	6	1	10	0	0	0	1	0	1	3	0
2951_9964	1	10	1	8	0	0	0	0	0	1	0	0
2951_10388	2	4	1	6	0	0	0	0	0	3	0	0
2951_10812	1	7	0	4	0	0	0	0	0	3	0	0
2951_11236	2	8	1	6	0	0	0	0	0	1	1	0
2951_11660	4	10	1	9	0	0	1	0	0	1	0	0
2951_12084	1	11	2	9	0	0	0	0	0	5	0	0
2951_12508	1	6	0	9	0	0	0	1	0	0	2	0
2951_12932	0	8	1	6	0	0	0	0	0	3	0	0
2951_13356	0	5	3	9	0	0	0	0	0	3	1	0
2951_13780	0	6	1	14	0	0	0	2	0	1	1	0
2951_14204	0	3	1	15	0	1	0	3	0	1	3	1
2951_14628	2	1	1	0	0	0	0	1	0	0	2	1
3405_1060	0	0	0	0	0	0	2	0	0	0	0	16
3405_1484	0	0	0	0	0	2	1	1	0	10	0	8
3405_1908	0	0	3	1	0	0	0	0	0	14	0	0
3405_2332	0	0	0	1	0	0	0	0	0	15	0	0
3405_2756	0	0	0	1	0	0	0	0	0	12	0	0
3405_4876	0	0	0	0	0	0	0	0	0	2	0	0
3405_5300	1	0	2	0	0	2	0	0	0	23	2	3
3405_6572	0	0	0	0	0	2	3	1	3	0	0	2
3405_6996	0	0	0	0	0	1	9	1	2	0	0	1
3405_8692	1	7	0	10	0	0	0	1	0	1	0	0
