cell	bio_celltype
cell314	Neuroblast
cell315	Neuroblast
cell316	Interneuron
cell317	Neuroblast
cell318	Neuroblast
cell319	Interneuron
cell320	Neuroblast
cell322	Interneuron
cell324	Interneuron
cell325	Interneuron
cell326	Neuroblast
cell327	Interneuron
cell328	Interneuron
cell329	Interneuron
cell330	Interneuron
cell331	Interneuron
cell332	Neuroblast
cell334	Neuroblast
cell335	Neuroblast
cell336	Interneuron
cell337	Interneuron
cell338	Interneuron
cell340	Interneuron
cell341	Neuroblast
cell342	Interneuron
cell343	Neuroblast
cell344	Oligodendrocytes
cell345	Neuroblast
cell347	Neuroblast
cell348	Interneuron
cell349	Astrocytes
cell350	Interneuron
cell351	Interneuron
cell352	Interneuron
cell353	Interneuron
cell354	Interneuron
cell355	Neuroblast
cell356	Neuroblast
cell357	Interneuron
cell358	Neuroblast
cell359	Interneuron
cell360	Interneuron
cell361	Neuroblast
cell362	Interneuron
cell363	Interneuron
cell364	Interneuron
cell365	Neuroblast
cell366	Interneuron
cell367	Microglia
cell368	Interneuron
cell369	Interneuron
cell370	Interneuron
cell371	Neuroblast
cell373	Neuroblast
cell374	Neuroblast
cell375	Neuroblast
cell376	Microglia
cell377	Interneuron
cell378	Interneuron
cell379	Interneuron
cell380	Interneuron
cell381	Interneuron
cell382	Astrocytes
cell383	Interneuron
cell384	Interneuron
cell385	Interneuron
cell386	Neuroblast
cell387	Interneuron
cell388	Interneuron
cell389	Interneuron
cell390	Neuroblast
cell391	Neuroblast
cell392	Interneuron
cell393	Interneuron
cell395	Interneuron
cell396	Neuroblast
cell398	Interneuron
cell399	Interneuron
cell400	Interneuron
cell401	Interneuron
cell402	Interneuron
cell403	Interneuron
cell404	Interneuron
cell405	Interneuron
cell406	Interneuron
cell407	Neuroblast
cell408	Neuroblast
cell410	Interneuron
cell411	Interneuron
cell412	Interneuron
cell413	Endothelial cells
cell414	Interneuron
cell415	Interneuron
cell416	Neuroblast
cell417	Interneuron
cell418	Interneuron
cell419	Interneuron
cell420	Neuroblast
cell421	Astrocytes
cell422	Interneuron
cell424	Endothelial cells
cell425	Astrocytes
cell426	Neuroblast
cell427	Interneuron
cell428	Interneuron
cell429	Interneuron
cell430	Neuroblast
cell431	Interneuron
cell432	Interneuron
cell433	Interneuron
cell434	Interneuron
cell435	Interneuron
cell436	Interneuron
cell437	Neuroblast
cell438	Neuroblast
cell439	Interneuron
cell440	Interneuron
cell441	Interneuron
cell442	Microglia
cell443	Neuroblast
cell444	Interneuron
cell445	Astrocytes
cell446	Interneuron
cell447	Interneuron
cell448	Interneuron
cell449	Astrocytes
cell450	Neuroblast
cell451	Interneuron
cell452	Neuroblast
cell453	Interneuron
cell454	Oligodendrocytes
cell455	Interneuron
cell457	Neuroblast
cell458	Interneuron
cell459	Interneuron
cell460	Oligodendrocytes
cell461	Interneuron
cell464	Neuroblast
cell465	Neuroblast
cell466	Interneuron
cell467	Interneuron
cell468	Neuroblast
cell469	Neuroblast
cell470	Neuroblast
cell471	Neuroblast
cell472	Endothelial cells
cell473	Neuroblast
cell474	Astrocytes
cell475	Neuroblast
cell476	Neuroblast
cell477	Interneuron
cell478	Neuroblast
cell479	Interneuron
cell480	Interneuron
cell481	Interneuron
cell482	Interneuron
cell483	Interneuron
cell484	Neuroblast
cell485	Neuroblast
cell486	Interneuron
cell487	Neuroblast
cell488	Interneuron
cell489	Interneuron
cell490	Interneuron
cell491	Astrocytes
cell492	Interneuron
cell495	Interneuron
