cell	bio_celltype
cell1332	Interneuron
cell1333	Interneuron
cell1334	Interneuron
cell1335	Microglia
cell1336	Interneuron
cell1337	Interneuron
cell1338	Interneuron
cell1339	Neuroblast
cell1340	Neuroblast
cell1341	Astrocytes
cell1342	Interneuron
cell1343	Interneuron
cell1344	Microglia
cell1345	Interneuron
cell1346	Neuroblast
cell1347	Neuroblast
cell1348	Interneuron
cell1349	Interneuron
cell1350	Microglia
cell1351	Astrocytes
cell1352	Interneuron
cell1353	Interneuron
cell1354	Microglia
cell1355	Astrocytes
cell1356	Astrocytes
cell1357	Interneuron
cell1358	Interneuron
cell1359	Interneuron
cell1360	Interneuron
cell1361	Interneuron
cell1362	Interneuron
cell1363	Interneuron
cell1364	Interneuron
cell1365	Interneuron
cell1366	Interneuron
cell1367	Astrocytes
cell1368	Interneuron
cell1369	Interneuron
cell1370	Astrocytes
cell1371	Interneuron
cell1372	Neuroblast
cell1373	Interneuron
cell1374	Interneuron
cell1375	Interneuron
cell1376	Neuroblast
cell1377	Neuroblast
cell1378	Interneuron
cell1379	Neuroblast
cell1380	Interneuron
cell1381	Interneuron
cell1382	Interneuron
cell1383	Interneuron
cell1384	Interneuron
cell1386	Astrocytes
cell1387	Interneuron
cell1388	Endothelial cells
cell1389	Neuroblast
cell1390	Interneuron
cell1391	Neuroblast
cell1392	Interneuron
cell1393	Neuroblast
cell1394	Neuroblast
cell1395	Neuroblast
cell1396	Neuroblast
cell1397	Interneuron
cell1398	Neuroblast
cell1399	Interneuron
cell1400	Neuroblast
cell1401	Interneuron
cell1402	Interneuron
cell1403	Neuroblast
cell1404	Interneuron
cell1405	Neuroblast
cell1406	Interneuron
cell1407	Neuroblast
cell1408	Interneuron
cell1409	Interneuron
cell1410	Interneuron
cell1411	Astrocytes
cell1412	Interneuron
cell1413	Neuroblast
cell1414	Neuroblast
cell1415	Interneuron
cell1416	Neuroblast
cell1417	Interneuron
cell1418	Microglia
cell1419	Neuroblast
cell1420	Neuroblast
cell1421	Interneuron
cell1422	Astrocytes
cell1423	Interneuron
cell1424	Interneuron
cell1425	Interneuron
cell1426	Interneuron
cell1427	Astrocytes
cell1428	Neuroblast
cell1429	Interneuron
cell1430	Astrocytes
cell1431	Astrocytes
cell1432	Interneuron
cell1433	Neuroblast
cell1434	Interneuron
cell1435	Neuroblast
cell1436	Neuroblast
cell1437	Astrocytes
cell1438	Astrocytes
cell1439	Astrocytes
cell1440	Neuroblast
cell1441	Neuroblast
cell1442	Neuroblast
cell1444	Neuroblast
cell1445	Interneuron
cell1446	Interneuron
cell1447	Interneuron
cell1448	Neuroblast
cell1449	Interneuron
cell1450	Astrocytes
cell1451	Microglia
cell1452	Interneuron
cell1453	Astrocytes
cell1454	Interneuron
cell1455	Neuroblast
cell1456	Endothelial cells
cell1457	Interneuron
cell1458	Interneuron
cell1459	Neuroblast
cell1460	Astrocytes
cell1461	Astrocytes
cell1462	Astrocytes
cell1463	Interneuron
cell1464	Astrocytes
cell1465	Interneuron
cell1466	Endothelial cells
cell1467	Interneuron
cell1468	Interneuron
cell1470	Interneuron
cell1471	Astrocytes
cell1472	Interneuron
cell1473	Interneuron
cell1474	Interneuron
cell1475	Interneuron
cell1476	Interneuron
cell1477	Interneuron
cell1478	Interneuron
cell1479	Interneuron
cell1480	Interneuron
cell1481	Astrocytes
cell1482	Interneuron
cell1483	Interneuron
cell1484	Interneuron
cell1485	Interneuron
cell1486	Astrocytes
cell1487	Neuroblast
cell1488	Interneuron
cell1489	Astrocytes
cell1490	Interneuron
cell1491	Interneuron
cell1492	Interneuron
cell1493	Astrocytes
cell1494	Interneuron
cell1495	Neuroblast
cell1496	Microglia
cell1497	Interneuron
cell1498	Interneuron
cell1499	Neuroblast
cell1500	Neuroblast
cell1501	Interneuron
cell1502	Interneuron
cell1503	Astrocytes
cell1504	Interneuron
cell1505	Microglia
cell1506	Interneuron
cell1507	Interneuron
cell1508	Interneuron
cell1509	Endothelial cells
cell1510	Interneuron
cell1511	Neuroblast
cell1512	Interneuron
cell1513	Endothelial cells
cell1514	Interneuron
cell1515	Interneuron
cell1516	Interneuron
cell1517	Interneuron
cell1518	Neuroblast
cell1519	Interneuron
cell1520	Interneuron
cell1521	Neuroblast
cell1522	Interneuron
cell1523	Interneuron
cell1524	Interneuron
cell1525	Neuroblast
cell1526	Interneuron
cell1527	Interneuron
cell1528	Interneuron
cell1529	Interneuron
cell1530	Interneuron
cell1531	Interneuron
cell1532	Interneuron
cell1533	Interneuron
cell1534	Interneuron
cell1535	Interneuron
cell1536	Interneuron
cell1537	Neuroblast
cell1538	Interneuron
cell1539	Interneuron
cell1540	Interneuron
cell1541	Interneuron
cell1542	Interneuron
cell1543	Neuroblast
cell1544	Neuroblast
cell1545	Interneuron
cell1546	Interneuron
cell1547	Interneuron
cell1548	Interneuron
cell1549	Interneuron
cell1550	Neuroblast
cell1551	Interneuron
cell1552	Interneuron
cell1553	Neuroblast
cell1554	Microglia
cell1555	Interneuron
cell1556	Interneuron
cell1557	Interneuron
cell1558	Neuroblast
cell1559	Microglia
cell1560	Interneuron
cell1561	Interneuron
cell1562	Neuroblast
cell1563	Neuroblast
cell1564	Interneuron
cell1565	Interneuron
cell1566	Interneuron
cell1567	Neuroblast
cell1568	Interneuron
cell1569	Interneuron
cell1570	Interneuron
cell1571	Interneuron
cell1572	Interneuron
cell1574	Interneuron
cell1575	Interneuron
cell1576	Interneuron
cell1577	Interneuron
cell1578	Interneuron
cell1579	Interneuron
cell1580	Interneuron
cell1581	Interneuron
cell1582	Astrocytes
cell1583	Endothelial cells
cell1584	Neuroblast
cell1585	Interneuron
cell1586	Endothelial cells
cell1587	Neuroblast
cell1588	Interneuron
cell1589	Interneuron
cell1590	Microglia
cell1591	Interneuron
cell1592	Interneuron
cell1593	Oligodendrocytes
cell1594	Interneuron
cell1595	Interneuron
cell1596	Interneuron
cell1597	Interneuron
cell1598	Interneuron
cell1599	Astrocytes
cell1600	Interneuron
cell1601	Neuroblast
cell1602	Interneuron
cell1603	Interneuron
cell1604	Astrocytes
cell1605	Interneuron
cell1606	Interneuron
cell1607	Interneuron
cell1608	Interneuron
cell1609	Interneuron
cell1610	Endothelial cells
cell1611	Endothelial cells
cell1612	Neuroblast
cell1613	Interneuron
cell1614	Interneuron
cell1615	Interneuron
cell1616	Interneuron
cell1617	Neuroblast
cell1618	Interneuron
cell1620	Interneuron
cell1621	Neuroblast
cell1622	Interneuron
cell1623	Astrocytes
cell1624	Interneuron
cell1625	Interneuron
cell1627	Interneuron
cell1628	Microglia
cell1629	Astrocytes
cell1630	Interneuron
cell1631	Mitral/Tufted Cells
cell1632	Astrocytes
cell1633	Mitral/Tufted Cells
cell1634	Interneuron
cell1635	Interneuron
cell1636	Interneuron
cell1637	Astrocytes
cell1639	Astrocytes
cell1640	Mitral/Tufted Cells
cell1641	Endothelial cells
cell1642	Endothelial cells
cell1643	Mitral/Tufted Cells
cell1644	Mitral/Tufted Cells
cell1645	Neuroblast
cell1646	Mitral/Tufted Cells
cell1648	Interneuron
cell1649	Astrocytes
cell1650	Interneuron
cell1651	Interneuron
cell1652	Interneuron
cell1654	Astrocytes
cell1655	Interneuron
cell1656	Astrocytes
cell1657	Interneuron
cell1658	Interneuron
cell1659	Astrocytes
cell1660	Interneuron
cell1661	Oligodendrocytes
cell1662	Interneuron
cell1663	Interneuron
cell1664	Interneuron
cell1665	Interneuron
cell1666	Interneuron
cell1667	Interneuron
cell1668	Neuroblast
cell1669	Interneuron
cell1670	Interneuron
cell1671	Astrocytes
cell1672	Oligodendrocytes
cell1673	Interneuron
cell1674	Interneuron
cell1675	Interneuron
cell1676	Astrocytes
cell1677	Interneuron
cell1678	Interneuron
cell1679	Endothelial cells
cell1680	Endothelial cells
cell1681	Interneuron
cell1682	Neuroblast
cell1683	Neuroblast
cell1684	Interneuron
cell1685	Interneuron
cell1686	Interneuron
cell1687	Neuroblast
cell1688	Mitral/Tufted Cells
cell1689	Interneuron
cell1690	Astrocytes
cell1691	Interneuron
cell1692	Neuroblast
cell1693	Interneuron
cell1694	Mitral/Tufted Cells
cell1695	Interneuron
cell1696	Mitral/Tufted Cells
cell1697	Mitral/Tufted Cells
cell1698	Interneuron
cell1699	Mitral/Tufted Cells
cell1700	Endothelial cells
cell1701	Interneuron
cell1703	Interneuron
cell1704	Interneuron
cell1705	Neuroblast
cell1706	Interneuron
cell1707	Interneuron
cell1708	Interneuron
cell1709	Neuroblast
cell1710	Interneuron
cell1711	Interneuron
cell1712	Interneuron
cell1713	Oligodendrocytes
cell1714	Interneuron
cell1715	Interneuron
cell1716	Neuroblast
cell1717	Interneuron
cell1718	Astrocytes
cell1719	Interneuron
cell1720	Interneuron
cell1721	Interneuron
cell1722	Neuroblast
cell1723	Neuroblast
cell1724	Interneuron
cell1725	Neuroblast
cell1726	Neuroblast
cell1727	Interneuron
cell1728	Microglia
cell1729	Interneuron
cell1730	Interneuron
cell1731	Interneuron
cell1732	Interneuron
cell1733	Interneuron
cell1734	Microglia
cell1735	Interneuron
cell1736	Interneuron
cell1737	Interneuron
cell1738	Interneuron
cell1739	Mitral/Tufted Cells
cell1740	Interneuron
cell1741	Mitral/Tufted Cells
cell1742	Interneuron
cell1743	Astrocytes
cell1744	Astrocytes
cell1745	Interneuron
cell1746	Astrocytes
cell1747	Endothelial cells
cell1749	Astrocytes
cell1751	Mitral/Tufted Cells
cell1752	Interneuron
cell1753	Interneuron
cell1754	Astrocytes
cell1755	Interneuron
cell1756	Interneuron
cell1757	Astrocytes
cell1758	Interneuron
cell1759	Interneuron
cell1760	Interneuron
cell1761	Oligodendrocytes
cell1762	Interneuron
cell1763	Interneuron
cell1764	Interneuron
cell1765	Interneuron
cell1766	Interneuron
cell1767	Endothelial cells
cell1768	Interneuron
cell1769	Interneuron
cell1770	Interneuron
cell1771	Interneuron
cell1772	Mitral/Tufted Cells
cell1773	Interneuron
cell1774	Astrocytes
cell1775	Interneuron
cell1776	Interneuron
cell1777	Interneuron
cell1778	Interneuron
cell1779	Interneuron
cell1780	Interneuron
cell1781	Interneuron
cell1782	Interneuron
cell1783	Interneuron
cell1784	Interneuron
cell1785	Interneuron
cell1786	Interneuron
cell1788	Neuroblast
cell1789	Interneuron
cell1790	Interneuron
cell1791	Interneuron
cell1792	Interneuron
cell1793	Neuroblast
cell1794	Interneuron
cell1795	Astrocytes
cell1796	Interneuron
cell1797	Interneuron
cell1798	Interneuron
cell1799	Oligodendrocytes
cell1800	Astrocytes
cell1801	Interneuron
cell1802	Interneuron
cell1803	Interneuron
cell1804	Neuroblast
cell1805	Interneuron
cell1806	Astrocytes
cell1807	Microglia
cell1808	Interneuron
cell1809	Interneuron
cell1810	Astrocytes
cell1811	Interneuron
cell1812	Astrocytes
cell1813	Interneuron
cell1814	Interneuron
cell1815	Interneuron
cell1816	Interneuron
cell1817	Astrocytes
cell1818	Endothelial cells
cell1819	Astrocytes
cell1820	Oligodendrocytes
cell1821	Astrocytes
cell1822	Interneuron
cell1823	Astrocytes
cell1824	Interneuron
cell1825	Interneuron
cell1826	Interneuron
cell1827	Mitral/Tufted Cells
cell1828	Interneuron
cell1829	Interneuron
cell1830	Interneuron
cell1831	Interneuron
cell1832	Oligodendrocytes
cell1833	Mitral/Tufted Cells
cell1834	Interneuron
cell1835	Interneuron
cell1836	Interneuron
cell1837	Interneuron
cell1838	Endothelial cells
cell1839	Interneuron
cell1840	Interneuron
cell1841	Interneuron
cell1842	Interneuron
cell1843	Neuroblast
cell1844	Interneuron
cell1845	Interneuron
cell1846	Interneuron
cell1847	Interneuron
cell1849	Interneuron
cell1850	Interneuron
cell1852	Endothelial cells
cell1854	Neuroblast
cell1855	Neuroblast
cell1856	Interneuron
cell1857	Interneuron
cell1858	Mitral/Tufted Cells
cell1859	Interneuron
cell1860	Interneuron
cell1861	Interneuron
cell1863	Neuroblast
cell1865	Neuroblast
cell1866	Interneuron
cell1867	Interneuron
cell1869	Endothelial cells
cell1870	Interneuron
cell1871	Interneuron
cell1872	Interneuron
cell1873	Interneuron
cell1874	Interneuron
cell1875	Interneuron
cell1876	Interneuron
cell1877	Interneuron
cell1878	Interneuron
cell1879	Interneuron
cell1880	Interneuron
cell1881	Interneuron
cell1882	Interneuron
cell1883	Endothelial cells
cell1884	Astrocytes
cell1885	Olfactory Ensheathing cells
cell1886	Olfactory Ensheathing cells
cell1887	Olfactory Ensheathing cells
cell1888	Olfactory Ensheathing cells
cell1889	Olfactory Ensheathing cells
cell1890	Olfactory Ensheathing cells
cell1891	Olfactory Ensheathing cells
cell1892	Olfactory Ensheathing cells
cell1893	Olfactory Ensheathing cells
cell1894	Olfactory Ensheathing cells
cell1895	Mitral/Tufted Cells
cell1896	Mitral/Tufted Cells
cell1897	Astrocytes
cell1898	Microglia
cell1899	Interneuron
cell1900	Interneuron
cell1901	Astrocytes
cell1902	Endothelial cells
cell1903	Endothelial cells
cell1904	Endothelial cells
cell1905	Neuroblast
cell1906	Neuroblast
cell1907	Mitral/Tufted Cells
cell1908	Astrocytes
cell1910	Mitral/Tufted Cells
cell1911	Interneuron
cell1912	Astrocytes
cell1913	Interneuron
cell1914	Mitral/Tufted Cells
cell1915	Mitral/Tufted Cells
cell1916	Interneuron
cell1917	Interneuron
cell1918	Interneuron
cell1919	Interneuron
cell1920	Mitral/Tufted Cells
cell1921	Astrocytes
cell1922	Neuroblast
cell1923	Astrocytes
cell1924	Astrocytes
cell1925	Neuroblast
cell1926	Neuroblast
cell1927	Interneuron
cell1928	Interneuron
cell1929	Interneuron
cell1930	Interneuron
cell1931	Endothelial cells
cell1932	Interneuron
cell1933	Interneuron
cell1934	Interneuron
cell1935	Astrocytes
cell1936	Interneuron
cell1937	Astrocytes
cell1938	Interneuron
cell1939	Interneuron
cell1941	Interneuron
cell1942	Endothelial cells
cell1943	Interneuron
cell1944	Interneuron
cell1946	Interneuron
cell1947	Neuroblast
cell1948	Interneuron
cell1949	Endothelial cells
cell1950	Interneuron
cell1951	Interneuron
cell1952	Interneuron
cell1953	Interneuron
cell1954	Olfactory Ensheathing cells
cell1955	Astrocytes
cell1956	Endothelial cells
cell1957	Olfactory Ensheathing cells
cell1958	Interneuron
cell1959	Olfactory Ensheathing cells
cell1960	Olfactory Ensheathing cells
cell1961	Olfactory Ensheathing cells
cell1962	Olfactory Ensheathing cells
cell1963	Interneuron
cell1964	Endothelial cells
cell1965	Olfactory Ensheathing cells
cell1966	Olfactory Ensheathing cells
cell1967	Olfactory Ensheathing cells
cell1968	Olfactory Ensheathing cells
cell1969	Olfactory Ensheathing cells
cell1970	Olfactory Ensheathing cells
cell1971	Olfactory Ensheathing cells
cell1972	Olfactory Ensheathing cells
cell1973	Astrocytes
cell1974	Astrocytes
cell1975	Endothelial cells
cell1976	Mitral/Tufted Cells
cell1977	Mitral/Tufted Cells
cell1978	Interneuron
cell1979	Mitral/Tufted Cells
cell1980	Endothelial cells
cell1981	Interneuron
cell1982	Neuroblast
cell1983	Endothelial cells
cell1984	Astrocytes
cell1985	Interneuron
cell1986	Interneuron
cell1987	Interneuron
cell1988	Interneuron
cell1989	Interneuron
cell1990	Interneuron
cell1991	Interneuron
cell1992	Interneuron
cell1993	Interneuron
cell1994	Interneuron
cell1995	Interneuron
cell1996	Endothelial cells
cell1997	Astrocytes
cell1998	Microglia
cell1999	Astrocytes
cell2000	Interneuron
cell2001	Interneuron
cell2002	Astrocytes
cell2003	Interneuron
cell2004	Olfactory Ensheathing cells
cell2005	Interneuron
cell2006	Olfactory Ensheathing cells
cell2007	Olfactory Ensheathing cells
cell2008	Olfactory Ensheathing cells
cell2009	Olfactory Ensheathing cells
cell2011	Olfactory Ensheathing cells
cell2012	Olfactory Ensheathing cells
cell2013	Olfactory Ensheathing cells
cell2014	Olfactory Ensheathing cells
cell2015	Olfactory Ensheathing cells
cell2016	Olfactory Ensheathing cells
cell2018	Olfactory Ensheathing cells
cell2019	Interneuron
cell2020	Mitral/Tufted Cells
cell2021	Astrocytes
cell2022	Mitral/Tufted Cells
cell2023	Mitral/Tufted Cells
cell2024	Mitral/Tufted Cells
cell2025	Mitral/Tufted Cells
cell2026	Endothelial cells
cell2027	Neuroblast
cell2028	Interneuron
cell2030	Interneuron
cell2031	Interneuron
cell2032	Endothelial cells
cell2033	Endothelial cells
cell2034	Interneuron
cell2035	Neuroblast
cell2036	Interneuron
cell2037	Interneuron
cell2038	Endothelial cells
cell2039	Interneuron
cell2040	Interneuron
cell2042	Olfactory Ensheathing cells
cell2043	Olfactory Ensheathing cells
cell2044	Endothelial cells
cell2045	Olfactory Ensheathing cells
cell2046	Olfactory Ensheathing cells
cell2047	Olfactory Ensheathing cells
cell2048	Olfactory Ensheathing cells
cell2049	Olfactory Ensheathing cells
cell2050	Olfactory Ensheathing cells
