spot	x	y	layer_new
16571_2332	16571	2332	2
16571_7844	16571	7844	1
16571_8268	16571	8268	1
16571_8692	16571	8692	1
16571_9116	16571	9116	1
16571_9540	16571	9540	1
16571_9964	16571	9964	1
16571_10388	16571	10388	1
16571_10812	16571	10812	1
16571_11236	16571	11236	1
16571_11660	16571	11660	1
16571_12084	16571	12084	1
17025_5300	17025	5300	2
17025_7844	17025	7844	1
17025_8268	17025	8268	1
17025_8692	17025	8692	1
17025_9116	17025	9116	1
17025_9540	17025	9540	1
17025_9964	17025	9964	1
17025_10388	17025	10388	1
17025_10812	17025	10812	1
17025_11236	17025	11236	1
17025_11660	17025	11660	1
17025_12084	17025	12084	1
17479_7844	17479	7844	1
17479_8268	17479	8268	1
17479_8692	17479	8692	1
17479_9116	17479	9116	1
17479_9540	17479	9540	1
17479_9964	17479	9964	1
17479_10388	17479	10388	1
17479_10812	17479	10812	1
17933_7844	17933	7844	1
17933_8268	17933	8268	1
17933_8692	17933	8692	1
17933_9116	17933	9116	1
17933_9540	17933	9540	1
17933_9964	17933	9964	1
17933_10388	17933	10388	1
