spot	x	y	layer_new
4313_8692	4313	8692	3
4313_9116	4313	9116	3
4313_9540	4313	9540	3
4313_9964	4313	9964	3
4313_10388	4313	10388	3
4313_10812	4313	10812	3
4313_11236	4313	11236	3
4313_11660	4313	11660	3
4313_12084	4313	12084	3
4313_12508	4313	12508	3
4313_12932	4313	12932	3
4313_13356	4313	13356	3
4313_13780	4313	13780	3
4313_14204	4313	14204	3
4313_14628	4313	14628	3
4313_15052	4313	15052	3
4313_15476	4313	15476	3
4313_15900	4313	15900	3
4767_636	4767	636	1
4767_1060	4767	1060	1
4767_1484	4767	1484	1
4767_1908	4767	1908	1
4767_2332	4767	2332	1
4767_2756	4767	2756	1
4767_3180	4767	3180	1
4767_5724	4767	5724	1
4767_6148	4767	6148	1
4767_6572	4767	6572	1
4767_6996	4767	6996	1
4767_7420	4767	7420	1
4767_8268	4767	8268	2
4767_8692	4767	8692	3
4767_9116	4767	9116	3
4767_9540	4767	9540	3
4767_9964	4767	9964	3
4767_10388	4767	10388	3
4767_10812	4767	10812	3
4767_11236	4767	11236	1
4767_11660	4767	11660	3
4767_12084	4767	12084	3
4767_12508	4767	12508	3
4767_12932	4767	12932	3
4767_13356	4767	13356	3
4767_13780	4767	13780	3
4767_14204	4767	14204	3
4767_14628	4767	14628	3
4767_15052	4767	15052	3
4767_15476	4767	15476	3
4767_15900	4767	15900	3
5221_636	5221	636	1
5221_1060	5221	1060	1
5221_1484	5221	1484	1
5221_1908	5221	1908	1
5221_2332	5221	2332	1
5221_2756	5221	2756	1
5221_3180	5221	3180	1
5221_5724	5221	5724	3
5221_6148	5221	6148	1
5221_6572	5221	6572	1
5221_6996	5221	6996	1
5221_7420	5221	7420	1
5221_7844	5221	7844	1
5221_8268	5221	8268	1
5221_8692	5221	8692	3
5221_9116	5221	9116	3
5221_9540	5221	9540	3
5221_9964	5221	9964	3
5221_10388	5221	10388	3
5221_10812	5221	10812	3
5221_11236	5221	11236	3
5221_11660	5221	11660	3
5221_12084	5221	12084	2
5221_12508	5221	12508	3
5221_12932	5221	12932	3
5221_13356	5221	13356	3
5221_13780	5221	13780	3
5221_14204	5221	14204	3
5221_14628	5221	14628	3
5221_15052	5221	15052	3
5221_15476	5221	15476	3
5221_15900	5221	15900	3
5675_636	5675	636	1
5675_1060	5675	1060	1
5675_1484	5675	1484	1
5675_1908	5675	1908	1
5675_2332	5675	2332	1
5675_2756	5675	2756	1
5675_3180	5675	3180	1
5675_5300	5675	5300	1
5675_5724	5675	5724	1
5675_6148	5675	6148	1
5675_6572	5675	6572	1
5675_6996	5675	6996	1
5675_7420	5675	7420	1
5675_7844	5675	7844	1
5675_8268	5675	8268	1
5675_8692	5675	8692	3
5675_9116	5675	9116	3
5675_9540	5675	9540	3
5675_9964	5675	9964	2
5675_10388	5675	10388	3
5675_10812	5675	10812	3
5675_11236	5675	11236	3
5675_11660	5675	11660	3
5675_12084	5675	12084	3
5675_12508	5675	12508	3
5675_12932	5675	12932	3
5675_13356	5675	13356	3
5675_13780	5675	13780	3
5675_14204	5675	14204	3
5675_14628	5675	14628	3
5675_15052	5675	15052	3
5675_15476	5675	15476	3
5675_15900	5675	15900	3
6129_636	6129	636	1
6129_1060	6129	1060	1
6129_1484	6129	1484	1
6129_1908	6129	1908	1
6129_2332	6129	2332	1
6129_2756	6129	2756	1
6129_3180	6129	3180	1
6129_5300	6129	5300	1
6129_5724	6129	5724	1
6129_6148	6129	6148	1
6129_6572	6129	6572	1
6129_6996	6129	6996	1
6129_7420	6129	7420	1
6129_7844	6129	7844	1
6129_8268	6129	8268	1
6129_8692	6129	8692	1
6129_9116	6129	9116	1
6129_9540	6129	9540	2
6129_9964	6129	9964	2
6129_10388	6129	10388	3
6129_10812	6129	10812	3
6129_11236	6129	11236	3
6129_11660	6129	11660	3
6129_12084	6129	12084	3
6129_12508	6129	12508	3
6129_12932	6129	12932	3
6129_13356	6129	13356	3
6129_13780	6129	13780	3
6129_14204	6129	14204	3
6129_14628	6129	14628	3
6129_15052	6129	15052	3
6129_15476	6129	15476	3
6129_15900	6129	15900	3
6583_1060	6583	1060	1
6583_1484	6583	1484	1
6583_1908	6583	1908	1
6583_2332	6583	2332	1
6583_2756	6583	2756	1
6583_3180	6583	3180	1
6583_5300	6583	5300	1
6583_5724	6583	5724	1
6583_6148	6583	6148	1
6583_6572	6583	6572	1
6583_6996	6583	6996	1
6583_7420	6583	7420	1
6583_7844	6583	7844	1
6583_8268	6583	8268	1
6583_8692	6583	8692	2
6583_9116	6583	9116	3
6583_9540	6583	9540	3
6583_9964	6583	9964	3
6583_10388	6583	10388	3
6583_10812	6583	10812	3
6583_11236	6583	11236	3
6583_11660	6583	11660	3
6583_12084	6583	12084	3
6583_12508	6583	12508	3
6583_12932	6583	12932	3
