spot	Interneuron	Neuroblast	Mitral/Tufted Cells	Astrocytes	Olfactory Ensheathing cells	Pia	Oligodendrocytes	Microglia	Endothelial cells
200_200	3	1	0	0	0	0	0	0	0
200_600	14	0	0	0	0	0	0	0	1
200_1000	10	0	0	0	0	0	0	1	0
200_1400	4	5	0	1	0	0	0	0	1
200_1800	0	0	0	3	0	0	0	0	0
600_200	15	3	0	0	0	0	0	0	0
600_600	23	3	0	0	0	0	0	0	0
600_1000	11	6	0	1	0	0	0	1	0
600_1400	11	3	0	1	0	0	0	2	1
600_1800	6	4	0	1	0	0	0	0	0
1000_200	8	2	0	0	0	0	0	1	1
1000_600	13	2	0	5	0	0	1	0	0
1000_1000	14	2	0	0	0	0	0	2	0
1000_1400	13	6	0	4	0	0	0	1	0
1000_1800	5	3	0	2	0	0	0	1	1
1400_200	7	1	0	0	0	0	0	0	0
1400_600	20	4	0	2	0	0	0	0	2
1400_1000	11	2	0	6	0	0	0	1	0
1400_1400	11	9	0	1	0	0	0	0	0
1400_1800	5	3	0	3	0	0	0	0	0
1800_200	1	0	0	0	0	0	0	0	0
1800_600	8	1	0	0	0	0	0	1	0
1800_1000	6	1	0	1	0	0	0	0	1
1800_1400	5	5	0	0	0	0	0	1	0
1800_1800	0	1	0	2	0	0	0	0	1
