spot	Interneuron	Neuroblast	Mitral/Tufted Cells	Astrocytes	Olfactory Ensheathing cells	Pia	Oligodendrocytes	Microglia	Endothelial cells
200_600	3	1	2	0	0	0	0	0	0
200_1000	4	0	2	0	0	0	0	1	0
200_1400	0	0	1	0	0	0	0	0	0
200_1800	0	0	0	1	0	0	0	0	1
600_200	3	0	7	0	0	0	0	0	0
600_600	11	1	3	2	0	0	0	0	0
600_1000	10	1	0	5	0	0	0	1	1
600_1400	11	1	6	2	0	0	0	0	1
600_1800	0	0	1	0	0	0	0	0	1
1000_200	3	0	0	2	0	0	1	0	0
1000_600	16	1	0	2	0	0	0	0	1
1000_1000	13	2	0	2	0	0	0	0	1
1000_1400	5	0	0	3	0	0	0	0	0
1000_1800	1	0	1	0	0	0	0	0	1
1400_200	7	3	0	0	0	0	0	0	2
1400_600	20	3	0	0	0	0	0	0	1
1400_1000	20	2	0	3	0	0	3	0	2
1400_1400	11	1	0	2	0	0	2	1	0
1400_1800	0	1	3	0	0	0	0	0	2
1800_200	9	2	0	1	0	0	0	0	0
1800_600	8	4	0	1	0	0	1	1	0
1800_1000	9	0	0	3	0	0	1	1	0
1800_1400	12	1	0	2	0	0	1	0	0
1800_1800	2	1	2	1	0	0	0	0	0
