spot	Interneuron	Neuroblast	Mitral/Tufted Cells	Astrocytes	Olfactory Ensheathing cells	Pia	Oligodendrocytes	Microglia	Endothelial cells
200_200	3	2	0	0	0	0	0	0	0
200_600	1	0	0	0	0	0	0	0	0
200_1000	6	3	0	0	0	0	0	0	1
600_200	4	5	0	1	0	0	3	0	0
600_600	7	5	0	2	0	0	0	2	1
600_1000	17	6	0	3	0	0	0	0	0
600_1400	2	1	0	0	0	0	1	0	0
1000_200	15	1	0	1	0	0	0	0	0
1000_600	15	8	0	2	0	0	0	0	0
1000_1000	24	7	0	1	0	0	0	0	0
1000_1400	10	2	0	0	0	0	0	0	1
1400_200	7	5	0	0	0	0	3	0	0
1400_600	21	10	0	2	0	0	0	0	0
1400_1000	18	8	0	3	0	0	0	0	0
1400_1400	15	7	0	4	0	0	0	0	0
1400_1800	4	0	0	0	0	0	0	0	0
1800_200	7	0	0	0	0	0	0	0	0
1800_600	12	5	0	1	0	0	0	1	0
1800_1000	10	9	0	2	0	0	0	0	0
1800_1400	14	2	0	1	0	0	0	1	0
1800_1800	5	1	0	1	0	0	0	0	0
